column	line	word	detail	context
page-053-L	21	τι	unmarked run: rules abstain	ραν κἂν εἴ τι τοιȣ͂τον ἕτερόν ἐστιν Πθ6. 1341a19, cf eius-
page-057-L	34	τι	unmarked run: rules abstain	Ζγα20. 729 a23. τὰ ἄναιμα ἔχει ἀνάλογόν τι τῆς καρδίας
page-058-R	7	τι	unmarked run: rules abstain	σεως) πρός τι (πρὸς τὸν ἥλιον, πρὸς ἄλλο τι τῶν λαμπρῶν)
page-058-R	7	τι	unmarked run: rules abstain	σεως) πρός τι (πρὸς τὸν ἥλιον, πρὸς ἄλλο τι τῶν λαμπρῶν)
page-058-R	22	τι	unmarked run: rules abstain	μα8. 345b10. ἀνάκλασις τῆς ὄψεως ἀπό τινος πρός τι (πρὸς
page-058-R	23	τι	unmarked run: rules abstain	τὸν ἥλιον, πρὸς ἄλλο τι τῶν λαμπρῶν) μγ3. 372b15. 2.
page-059-R	26	τι	unmarked run: rules abstain	λίσκειν εἴς τι Ηδ2. 1120 b22. — εἰς ἄλλον τὴν ὀργὴν ἀνα-
page-059-R	41	τι	unmarked run: rules abstain	ἀναλογία. ἀναλογίαν ἔχειν πρός τι, syn τὸν αὐτὸν λόγον ἔχειν
page-060-L	4	τι	unmarked run: rules abstain	cf Ζιι48. 631 a27. συνάγειν ἀναλογιζόμενον πρός τι Πζ6.
page-060-L	14	τι	unmarked run: rules abstain	1408 a12, 11, b4. τὸ δίκαιον ἀνάλογόν τι Ηε6. 1131 a29.
page-060-L	56	τι	unmarked run: rules abstain	τι, vel absol Πδ4. 1292 a18. 14. 1298 a32. ε4. 1303 b30.
page-060-R	8	τι	unmarked run: rules abstain	ἀναλύειν. ἕν τι ὑπόκειται, εἰς ὃ ἀναλύονται ἔσχατον μα3.
page-060-R	15	τι	unmarked run: rules abstain	ἀναλύεται ȣ̓́τ᾽ εἰς ἄλληλα ȣ̓́τ᾽ εἰς ἕν τι Μδ28. 1024 b15.
page-060-R	40	τι	unmarked run: rules abstain	ἀνάλωμα. δαπανᾶν ἀνάλωμά τι Πβ9. 1271 a30. τίνα ἀναλώ-
page-060-R	54	τι	unmarked run: rules abstain	ἀναμετρεῖν. μέγεθός τι ὃ ἀναμετρήσει τὸ ὅλον Φδ12. 221
page-061-R	9	τι	unmarked run: rules abstain	ταί τι ϗ̀ ἀπόλλυται συγκρίσει ϗ̀ διακρίσει τῶν ὁμοιομερῶν,
page-054-R	11	δ	unmarked run: rules abstain	μὲν ὄντων ἀναγκαῖον, ἁπλῶς δ᾽ ȣ̓κ ἀναγκαῖον Αα10. 30
page-054-R	14	δ	unmarked run: rules abstain	τῇ ὕλῃ τὸ ἀναγκαῖον, τὸ δ᾽ ȣ̔͂ ἕνεκα ἐν τῷ λόγῳ Φβ9.
page-054-R	24	δ	unmarked run: rules abstain	ὑποθέσεως τἀναγκαῖα, τὸ δ᾽ ἁπλῶς τὸ καλῶς Πη13. 1332
page-054-R	52	δ	unmarked run: rules abstain	τὴν δ᾽ ἐμπειρίαν ἀναγκαίαν Πα11. 1258 b11. σχολὴ τῶν
page-055-R	18	δ	unmarked run: rules abstain	τοιόνδε δὲ ὀφθαλμὸν ἐξ ἀνάγκης μέν, ȣ̓ τοιαύτης δ' ἀνάγκης
page-055-R	19	δ	unmarked run: rules abstain	Ζγε1. 778 b17. — νῦν δ' ὅσον ἀνάγκη, τοσȣ͂τον περὶ αὐτῶν
page-057-L	1	δ	unmarked run: rules abstain	ζῴων τὰ μὲν ἔναιμα τὰ δ' ἄναιμα ἐν τῷ λόγῳ ἐνυπάρξει
page-057-L	6	δ	unmarked run: rules abstain	ἔναιμα τὰ δ' ἄναιμα εἶναι Ζιβ15. 505 b27. α4. 489 a32.
page-058-R	42	δ	unmarked run: rules abstain	quasi absolute et tituli instar: τὰ δ’ ἐν αὐτοῖς ζῳοτοκȣ͂ντα,
page-058-R	51	δ	unmarked run: rules abstain	εἰώθασι χρηματίζεσθαι, ἔτι δ’ ὅσον ἐνδέχεται περὶ αὐτῶν
page-059-R	6	δ	unmarked run: rules abstain	b7. νῦν δ᾽ ἀναληπτέον ὑπὲρ αὐτῶν υ3. 465 b6. — (τὸ ἐξ ἀρ-
page-060-L	34	δ	unmarked run: rules abstain	δ’ ἀναίμοις τὸ ἀνάλογον τῇ καρδίᾳ, τὸ ἀνάλογον τῷ στήθει,
page-061-L	41	δ	unmarked run: rules abstain	δ' ἔργοις ὕστερος ΜΑ3. 984a11. σοφός, φρόνιμος δ' ȣ̓́
page-061-L	41	δ	unmarked run: rules abstain	δ' ἔργοις ὕστερος ΜΑ3. 984a11. σοφός, φρόνιμος δ' ȣ̓́
page-062-L	26	δ	unmarked run: rules abstain	οἱ δ’ ἐκ τȣ͂ ἑνὸς ἐνȣ́σας τὰς ἐναντιότητας ἐκκρίνεσθαι, ὥσπερ
page-055-L	39	κατ	unmarked run: rules abstain	Αα16. 35b35. τὸ ἐξ ἀνάγκης ὂν κατ' ἐνέργειάν ἐστιν ε13.
page-057-L	22	κατ	unmarked run: rules abstain	650 b23. τῶν ἀναίμων ἐνίοις κατ' ἐνέργειαν μόνον ἕν ἐστι
page-059-R	49	κατ	unmarked run: rules abstain	πολλαπλασία Αγ12. 78 a1, 4. — κατ᾽ ἀναλογίαν, dist κατ᾽
page-059-R	49	κατ	unmarked run: rules abstain	πολλαπλασία Αγ12. 78 a1, 4. — κατ᾽ ἀναλογίαν, dist κατ᾽
page-059-R	50	κατ	unmarked run: rules abstain	ἀριθμόν, κατ᾽ ἰσότητα, τῷ τȣ͂ ποσȣ͂ μέτρῳ Γβ6. 333 a28.
page-059-R	54	κατ	unmarked run: rules abstain	ἀριθμῷ, εἴδει, γένει, ἀναλογίᾳ sive κατ᾽ ἀναλογίαν Μδ6.
page-059-R	57	κατ	unmarked run: rules abstain	cf Ηα4. 1096 b29. στοιχεῖα κατ᾽ ἀναλογίαν ταὐτὰ πάντων
page-059-R	58	κατ	unmarked run: rules abstain	Μλ4. 1070 a32, b26. ȣ̓ κεῖται ὄνομα κοινόν, ἀλλὰ κατ᾽ ἀνα-
page-059-R	60	κατ	unmarked run: rules abstain	κατ᾽ ἀναλογίαν λέγεσθαι Ζγα1. 715 b20. μεταφοραὶ κατ
page-059-R	60	κατ	unmarked run: rules abstain	κατ᾽ ἀναλογίαν λέγεσθαι Ζγα1. 715 b20. μεταφοραὶ κατ
page-059-R	61	κατ	unmarked run: rules abstain	ἀναλογίαν Ργ10. 1411 a1, b3. 11. 1412 a4. κατ᾽ ἀναλογίαν
page-060-L	2	κατ	unmarked run: rules abstain	κατ’ ἀναλογίαν Φα7. 191 a8.
page-053-R	50	τις	unmarked run: rules abstain	ἀναβλέπειν. τυφλὸς γενόμενός τις ȣ̓ πάλιν ἀνέβλεψεν Κ10.
page-055-R	16	τις	unmarked run: rules abstain	ἰσχυροτέρα τις ἀνάγκη παραγενομένη διασείσῃ τὰς ȣ̓σίας
page-055-R	26	τις	unmarked run: rules abstain	1339 a4. ἐὰν μή τις δεσμὸν ἢ ἄλλην τινὰ προσενέγκῃ ἀνάγ-
page-055-R	44	τις	unmarked run: rules abstain	ὅταν τις ἐπιτύχῃ Οβ5. 287 b34.
page-056-R	33	τις	unmarked run: rules abstain	ἡ μὲν ἀτμὶς ὑγρότης τις, ἡ δὲ καπνώδης ἀναθυμίασις κοι-
page-059-R	52	τις	unmarked run: rules abstain	b40. ἀναλογία τις ϗ̀ τὸ ἁρμόττον Ρβ9. 1387 a28. κατὰ τὴν
page-061-R	20	τις	unmarked run: rules abstain	405a13, 16 Trdlbg, b19. γ4. 429a19, b24. νȣ͂ν τις εἰπὼν
page-062-R	54	τις	unmarked run: rules abstain	Ζιι12. 615b2. ἀναπετόμεναι ὅταν σοβήσῃ τις Ζιε30. 556
page-055-R	30	δι	unmarked run: rules abstain	1224 b13. ἡ λύπη ἐπὶ τοῖς δι' ἀνάγκην ἐστίν, ὁ ἐξ ἀνάγκης
page-058-L	48	δι	unmarked run: rules abstain	tendis syllogismorum terminis, ἀνακάμπτειν διὰ πολλῶν, δι’
page-059-R	10	δι	unmarked run: rules abstain	ἀναλγησία. φέρειν εὐκόλως μεγάλας ἀτυχίας, μὴ δι᾽ ἀναλ-
page-059-R	27	δι	unmarked run: rules abstain	λῶσαι Ρβ3. 1380 b11. — δι᾽ ἀδυναμίαν ȣ̓ πέττȣσι (τὸ
page-060-R	34	δι	unmarked run: rules abstain	στήμης ϗ̀ τῆς περὶ τὰ ἤθη πολιτικῆς Ρα4. 1359 b10. δι᾽
page-054-R	20	τȣ	unmarked run: rules abstain	τὴν ἕνεκά τȣ ϗ̀ τὴν τȣ͂ τέλȣς αἰτίαν, ἀλλὰ κατὰ συμβε-
page-055-R	2	τȣ	unmarked run: rules abstain	776 a25. ἡ ἀνάγκη ϗ̀ τὸ ἕνεκά τȣ ἐν τοῖς φύσει συνιστα-
page-055-R	7	τȣ	unmarked run: rules abstain	Ζγε1. 778 a35. ὅσα γίνεσθαι συμβαίνει μὴ ἕνεκά τȣ, ἀλλ'
page-055-R	10	τȣ	unmarked run: rules abstain	ἀνάγκης, opp ἕνεκά τȣ, τȣ͂ βελτίονος ἕνεκα, διὰ τὸ βέλτιον,
page-058-R	57	τε	unmarked run: rules abstain	ὅ τε ὄγκος ηὐξάνετο Ζγδ7. 775b27 sqq. — 2. constructio
page-059-R	18	τε	unmarked run: rules abstain	1231 a33, 26. — τὸ ἓν ἀνώδυνόν τε ϗ̀ ἀνάλγητον (Meliss)
page-060-R	33	τε	unmarked run: rules abstain	ἀναλυτικός. ἡ ῥητορικὴ σύγκειται ἔκ τε τῆς ἀναλυτικῆς ἐπι-
page-061-R	5	τε	unmarked run: rules abstain	188a13, τά τε ὁμοιομερῆ ϗ̀ τἀναντία Φα4. 187a25. quae
page-056-R	41	φησι	unmarked run: rules abstain	Ἡράκλειτος τὴν ἀρχὴν εἶναί φησι ψυχήν, εἴπερ τὴν ἀναθυ-
page-056-R	52	των	unmarked run: rules abstain	των Ζια16. 495 a4. γ3. 514 a18. Ζμβ7. 652 a35. (τὰ ζῷα)
page-059-L	53	των	unmarked run: rules abstain	των τὰς διανοίας Ρα1. 1354b32. ρ2. 1438b22. — ἀφεθέντα
page-060-R	44	των	unmarked run: rules abstain	των Πγ1. 1275 b2. ποιεῖν ἀναμάρτητον τὴν προαίρεσιν ϗ̀ τὸ
page-062-L	27	φησι	unmarked run: rules abstain	Ἀναξίμανδρός φησι Φα4. 187a21. Anax videtur resp ἄπειροι
