site	tier	ground_truth	oof	kraken	vote
page-015-L:_e911a272-edbc-4fc9-99d9-636791a19039	both	φάσεις ποσαχῶς Μδ 22. 1022b32, διχῶς, τῷ μὴ ἔχειν, τῷ	φάσεις ποσαχῶς Μδ22. 1022b32, διχῶς, τῷ μὴ ἔχειν, τῷ	φάσεις ποσαχῶς Μδ22. 1022b32, διχῶς, τῷ μὴ ἔχειν, τῷ	
page-015-L:_acaed670-b640-46f1-bd63-9a1357dfe618	both	ἀάζειν θερμόν μβ 8. 367b2. opp φυσᾶν πλδ 7. 964a11. ὁ	ἀάζειν θερμόν μβ8. 367b2. opp φυσᾶν πλδ7. 964a11. ὁ	ἀάζειν θερμόν μβ8. 367b2. opp φυσᾶν πλδ 7. 964a11. ὁ	
page-015-L:_38a27648-3648-4619-8d43-7fc825eeb428	both	ἀβαρές, opp τὸ ἔχον βάρος Οα 8. 277b19. Μγ 2. 1004b14.	ἀβαρές, opp τὸ ἔχον βάρος Οα8. 277b19. Μγ2.1004b14.	ἀβαρές, opp τὸ ἔχον βάρος Οα 8. 277b19. Μγ2. 1004b14.	
page-015-L:_8f1c7a87-6848-43a5-a8ce-3d06cebe73ed	both	Ἀβδηρίτης. Δημόκριτος ὁ Ἀ. Ογ 4. 303a4. μβ 7. 365a19.	Ἀβδηρίτης. Δημόκριτος ὁ Ἀ. Ογ4. 303a4. μβ7. 365a19.	Ἀβδηρίτης. Δημόκριτος ὁ Ἀ. Ογ4. 303a4. μβ7. 365a19.	
page-015-L:_d8b9c31e-22d1-47d9-afc5-c002d964e90c	both	αν 2. 470b28. Ζγβ 6. 742b20. δ 1. 764a7.	αν 2. 470b28. Ζγβ6. 742b20. δ1. 764a7.	αν 2. 470b28. Ζγβ6. 742b20. δ1. 764a7.	
page-015-L:_897c3401-0e49-4217-aa7d-6ab76120ede6	both	ἀβέβαιος φιλία, opp βέβαιος ηεη 2. 1236b9. ἀβέβαιοι Ηι 12.	ἀβέβαιος φιλία, opp βέβαιος ηεη2. 1236b9. ἀβέβαιοι Ηι12.	ἀβέβαιος φιλία, opp βέβαιος ηεη2. 1236b9. ἀβέβαιοι Ηι12.	
page-015-L:_9a0082ff-61a7-4006-82b9-3d85172bf9b9	both	τερίας Bk2) Πε 11. 1315a3. hoc loco et οβ 1352b8 ἀβελ-	τερίας Bk) Πε11. 1315a3. hoc loco et οβ1352b8 ἀβελ-	τερίας Bk3) Πε11. 1315a3. hoc loco et οβ1352b8 ἀβελ	
page-015-L:_0a74d028-f922-4a98-9c8d-a034c3d1e84d	both	ἀβλαβής. act ὅσα ἀβλαβῆ τῶν ἡδέων, χαρὰ ἀβλαβής Πθ 5.	ἀβλαβης. act ὅσα ἀβλαβῆ τῶν ἡδέων, χαρὰ ἀβλαβής Πθ5.	ἀβλαβής. act ὅσα ἀβλαβῆ τῶν ἡδέων, χαρὰ ἀβλαβής Πθ5.	
page-015-L:_4dde6239-438a-4e3d-8655-495247b2a212	both	ι 28. 618a1. Ζμδ 5. 681a5. καρποὶ κατὰ συμβεβηκὸς ἄβρω-	ι28. 618a1. Ζμδ5. 681a5. καρποὶ κατὰ συμβεβηκὸς ἄβρω-	ι 28. 618a1. Ζμδ5. 681a5. καρποὶ κατὰ συμβεβηκὸς ἄβρω-	
page-015-R:_e396b72d-61d8-417e-93a3-0a3fe5e9e980	both	γ12.1282b15. ΜΑ3.983a32 Bz. 7.988b9. β2. 996a24.	γ12. 1282b15. ΜΑ3. 983a32 Bz. 7. 988b9. β2. 996a24.	γ12.1282b15. ΜΑ3. 983a32 Bz. 7. 988b9. β2. 996a24.	
page-015-R:_1c9a5243-699e-4cd6-9cf2-c024f36722e4	both	Ζκ6.700b28. τὸ ἀληθῶς ϗ̀ πρώτως ἀγαθὸν θειότερον ἢ ὥστ'	Ζκ6. 700b28. τὸ ἀληθῶς ϗ̀ πρώτως ἀγαθὸν θειότερον ἢ ὥστ'	Ζκ6. 700b28. τὸ ἀληθῶς ϗ̀ πρώτως ἀγαθὸν θειότερον ἢ ὥστ'	
page-015-R:_9ab1a8e7-5a9a-4d89-8a4c-5e54e6cfe830	both	732a3, 7. cf Ηη9.1151a25. τὸ βέλτιον ἀεὶ ὑπολαμβάνο-	732a3, 7. cf Ηη9. 1151a25. τὸ βέλτιον ἀεὶ ὑπολαμβάνο-	732a3, 7. cf Ηη9. 1151a25. τὸ βέλτιον ἀεὶ ὑπολαμβάνο-	
page-015-R:_7d337532-784f-4936-9836-b25b9e326195	both	νυμον Ηα4. 1096a20, 23. ημα1. 1183a9. β7. 1205a9.	νυμον Ηα4. 1096a20, 23. ημα 1. 1183a9. β7. 1205a9.	νυμον Ηα 4. 1096a20, 23. ημα1. 1183a9. β7. 1205a9.	
