column	line	token	tier	sanctioned	evidence	context
page-015-L	43	Mb	unknown		Mb is nowhere in the p.11/p.12 key · 3 sites in the corpus, all spelt this way	cod Mb Fr).
page-016-L	36	Eur	unknown		Eur is nowhere in the p.11/p.12 key · 7 sites in the corpus, all spelt this way	ὤν (Eur fr 183) Ρα11. 1371b33. ὁ εὔθυμος μὴ ἐπισπερ-
page-016-L	49	Platonem	unknown		Platonem is nowhere in the p.11/p.12 key · the only site in the corpus	ἀνήρ (secundum Platonem) f 623. 1583a17. γίνεσθαι ἀγα-
page-016-L	60	Pind	unknown		Pind is nowhere in the p.11/p.12 key · the only site in the corpus	μὲν ὕδωρ (Pind Ol 1, 1) Ρα7. 1364a28. — βέλτιον ἴσως
page-016-L	60	Ol	unknown		Ol is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	μὲν ὕδωρ (Pind Ol 1, 1) Ρα7. 1364a28. — βέλτιον ἴσως
page-016-R	10	Nauck	unknown		Nauck is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	τὸν Ἀχιλλέα βελτίω ἐποίει πο15. 1454 b14 (? Nauck fr tr
page-016-R	18	Homerici	unknown		Homerici is nowhere in the p.11/p.12 key · the only site in the corpus	ναιος f172. 1506 b30. versus Homerici afferuntur τι4. 166
page-016-R	19	Wolf	unknown		Wolf is nowhere in the p.11/p.12 key · the only site in the corpus	b7 (Β15. v l cf Wolf Prol p CLXVIII). Πγ16. 1287 b14
page-016-R	19	Prol	spelling	Prtl	one letter from Prtl, which is in the key; Prol is not · the only site in the corpus	b7 (Β15. v l cf Wolf Prol p CLXVIII). Πγ16. 1287 b14
page-016-R	19	CLXVIII	unknown		CLXVIII is nowhere in the p.11/p.12 key · the only site in the corpus	b7 (Β15. v l cf Wolf Prol p CLXVIII). Πγ16. 1287 b14
page-016-R	22	Aeschyli	unknown		Aeschyli is nowhere in the p.11/p.12 key · 3 sites in the corpus, all spelt this way	tragoedia Aeschyli f575. 1572 b22, 26. — Ἀγαμεμνο-
page-017-L	34	Emped	unknown		Emped is nowhere in the p.11/p.12 key · 27 sites in the corpus, all spelt this way	ἄγγος. ἐς ἄγγος (Emped 354) αν7. 473b20. ἐξ ἄγγȣς κ6.
page-017-R	23	Agath	unknown		Agath is nowhere in the p.11/p.12 key · the only site in the corpus	ἀγένητος. (ἀδύνατον) ἀγένητα ποιεῖν (Agath fr 5) Ηζ2. 1139
page-017-R	52	Muretus	unknown		Muretus is nowhere in the p.11/p.12 key · the only site in the corpus	Ἀγησίπολις ci Muretus Spgl Bk3 coll Xen Hell 4, 7, 2 pro
page-017-R	52	Xen	unknown		Xen is nowhere in the p.11/p.12 key · the only site in the corpus	Ἀγησίπολις ci Muretus Spgl Bk3 coll Xen Hell 4, 7, 2 pro
page-017-R	52	Hell	unknown		Hell is nowhere in the p.11/p.12 key · the only site in the corpus	Ἀγησίπολις ci Muretus Spgl Bk3 coll Xen Hell 4, 7, 2 pro
page-018-L	1	Democr	unknown		Democr is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	ἀγκιστρώδη σώματα (Democr), dist σκαληνά, κοῖλα, κυρτά
page-018-L	13	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	Ἀγλαΐη. Νιρεὺς Ἀγλαΐης (Hom B 672) Ργ12. 1414 a3. f596.
page-018-L	15	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	ἀγλαόκαρπος (Hom η115, λ589) κ6. 401 a7.
page-018-L	54	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	ἁγνός. Ἄρτεμις ἀγνή (Hom υ 71) πι36. 894 b34. μακάρων
page-018-L	58	Vitex	unknown		Vitex is nowhere in the p.11/p.12 key · the only site in the corpus	φτα4. 819 b8 (Vitex Agnus castus L).
page-018-L	58	Agnus	unknown		Agnus is nowhere in the p.11/p.12 key · the only site in the corpus	φτα4. 819 b8 (Vitex Agnus castus L).
page-018-L	58	L	unknown		L is nowhere in the p.11/p.12 key · 23 sites in the corpus, all spelt this way	φτα4. 819 b8 (Vitex Agnus castus L).
page-018-R	51	Sylb	unknown		Sylb is nowhere in the p.11/p.12 key · 4 sites in the corpus, all spelt this way	(ἀγοράσεις ci Sylb) ηεα4. 1215a31. — συναγοράσαι ἔλαιον
page-019-L	5	Plat	unknown		Plat is nowhere in the p.11/p.12 key · 10 sites in the corpus, all spelt this way	ἀγορανομικὰ ϗ̀ ἀστυνομικά (Plat rep IV 425 D) Πβ5.
page-019-L	5	IV	unknown		IV is nowhere in the p.11/p.12 key · 13 sites in the corpus, all spelt this way	ἀγορανομικὰ ϗ̀ ἀστυνομικά (Plat rep IV 425 D) Πβ5.
page-019-L	5	D	unknown		D is nowhere in the p.11/p.12 key · the only site in the corpus	ἀγορανομικὰ ϗ̀ ἀστυνομικά (Plat rep IV 425 D) Πβ5.
page-019-L	27	Platonis	unknown		Platonis is nowhere in the p.11/p.12 key · the only site in the corpus	ἐν τοῖς λεγομένοις ἀγράφοις δόγμασι (Platonis) Φδ2. 209 b15.
page-019-L	31	Olea	unknown		Olea is nowhere in the p.11/p.12 key · the only site in the corpus	ἀγριέλαιος, dist καλλιέλαιος φτα6. 820 b41. (Olea Oleaster
page-019-L	31	Oleaster	unknown		Oleaster is nowhere in the p.11/p.12 key · the only site in the corpus	ἀγριέλαιος, dist καλλιέλαιος φτα6. 820 b41. (Olea Oleaster
page-019-L	32	Hoffsg	unknown		Hoffsg is nowhere in the p.11/p.12 key · the only site in the corpus	Hoffsg et Lk).
page-019-L	32	Lk	unknown		Lk is nowhere in the p.11/p.12 key · the only site in the corpus	Hoffsg et Lk).
page-020-L	5	Poet	unknown		Poet is nowhere in the p.11/p.12 key · 14 sites in the corpus, all spelt this way	1453 a27. 7. 1451 a6. cf 24. 1459 b26. Vhl Poet II 79.
page-020-L	33	Home	unknown		Home is nowhere in the p.11/p.12 key · the only site in the corpus	ὦσιν Ηκ5. 1175 b12. — οἱ ἄλλοι (epici poetae praeter Home-
page-020-R	4	Stesichori	unknown		Stesichori is nowhere in the p.11/p.12 key · the only site in the corpus	γες ᾄσονται (Stesichori apophthegma) Ργ11. 1412a23. β21.
page-020-R	15	Eur	unknown		Eur is nowhere in the p.11/p.12 key · 7 sites in the corpus, all spelt this way	(Eur fr 965) Πη7. 1328a15.
page-020-R	34	Soph	unknown		Soph is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	τραγῳδίας πο18. 1456a3. ἐν ᾅδȣ (Soph Ant 911) Ργ16.
page-020-R	34	Ant	unknown		Ant is nowhere in the p.11/p.12 key · the only site in the corpus	τραγῳδίας πο18. 1456a3. ἐν ᾅδȣ (Soph Ant 911) Ργ16.
page-021-L	31	Adiectiva	unknown		Adiectiva is nowhere in the p.11/p.12 key · the only site in the corpus	Adiectiva verbalia in — τέον, impersonaliter usurpata, con-
