column	line	token	count	neighbour	neighbour_count	substitution	tier	authority
page-016-L	60	Pind	1	Pina	0	d->a	other	Diogenes attests Pina and not Pind (1 of 5 attested neighbours)
page-016-R	10	Nauck	2	Nauca	0	k->a	other	Diogenes attests Nauca and not Nauck (1 of 3 attested neighbours)
page-016-R	19	Prol	1	Proh	0	l->h	other	Diogenes attests Proh and not Prol (1 of 4 attested neighbours)
page-018-L	30	intcllexit	1	intellexit	0	c->e	ce	Diogenes attests intellexit and not intcllexit
page-020-R	34	Soph	2	Sopi	0	h->i	other	Diogenes attests Sopi and not Soph
page-023-L	42	enunciatis	1	enuntiatis	0	c->t	other	Diogenes attests enuntiatis and not enunciatis
page-023-R	1	petits	1	petita	0	s->a	other	Diogenes attests petita and not petits (1 of 5 attested neighbours)
page-023-R	2	Ducs	1	Duas	0	c->a	other	Diogenes attests Duas and not Ducs (1 of 6 attested neighbours)
page-023-R	6	Simonid	2	Simonis	0	d->s	other	Diogenes attests Simonis and not Simonid
page-023-R	58	sylvia	2	salvia	0	y->a	other	Diogenes attests salvia and not sylvia
page-023-R	58	lusc	2	luse	0	c->e	ce	Diogenes attests luse and not lusc (1 of 4 attested neighbours)
page-023-R	58	lusc	2	luse	0	c->e	ce	Diogenes attests luse and not lusc (1 of 4 attested neighbours)
page-024-R	14	ather	1	athei	0	r->i	other	Diogenes attests athei and not ather (1 of 3 attested neighbours)
page-025-R	32	affcrtur	1	affertur	2	c->e	ce	Diogenes attests affertur and not affcrtur
page-026-L	3	rubra	1	rubea	0	r->e	other	Diogenes attests rubea and not rubra (1 of 6 attested neighbours)
page-026-L	4	sylvia	2	salvia	0	y->a	other	Diogenes attests salvia and not sylvia
page-026-L	15	europaeus	1	europaeis	0	u->i	other	Diogenes attests europaeis and not europaeus (1 of 2 attested neighbours)
page-026-L	15	CrSu	1	ArSu	0	C->A	other	Diogenes attests ArSu and not CrSu (1 of 3 attested neighbours)
page-026-L	17	barge	1	barbe	0	g->b	other	Diogenes attests barbe and not barge (1 of 4 attested neighbours)
page-026-L	44	astronomicae	1	astronomicam	0	e->m	other	Diogenes attests astronomicam and not astronomicae (1 of 2 attested neighbours)
page-027-L	49	Aubert	1	Aufert	0	b->f	other	Diogenes attests Aufert and not Aubert
page-027-L	51	sciences	1	scientes	0	c->t	other	Diogenes attests scientes and not sciences
page-027-L	52	Arch	1	Arca	0	h->a	other	Diogenes attests Arca and not Arch (1 of 4 attested neighbours)
page-027-L	52	Naturg	1	Natura	0	g->a	other	Diogenes attests Natura and not Naturg
page-027-R	45	parasiticus	1	parasiticas	0	u->a	other	Diogenes attests parasiticas and not parasiticus (1 of 3 attested neighbours)
page-027-R	45	argentatus	1	argentatas	0	u->a	other	Diogenes attests argentatas and not argentatus (1 of 2 attested neighbours)
page-027-R	55	chat	1	chai	0	t->i	other	Diogenes attests chai and not chat (1 of 3 attested neighbours)
page-028-L	4	über	1	uber	0	ü->u	other	Diogenes attests uber and not über
page-029-R	10	depilans	1	depalans	0	i->a	other	Diogenes attests depalans and not depilans
page-029-R	13	Antig	1	Antia	0	g->a	other	Diogenes attests Antia and not Antig (1 of 5 attested neighbours)
page-029-R	36	anatom	2	anatem	0	o->e	other	Diogenes attests anatem and not anatom
page-030-L	12	aegocerus	1	aegoceros	0	u->o	other	Diogenes attests aegoceros and not aegocerus
page-030-L	14	hircus	1	circus	0	h->c	other	Diogenes attests circus and not hircus (1 of 3 attested neighbours)
page-030-L	23	vanellus	1	vafellus	0	n->f	other	Diogenes attests vafellus and not vanellus
page-030-L	24	Belon	1	Belin	0	o->i	other	Diogenes attests Belin and not Belon (1 of 8 attested neighbours)
page-030-R	53	Schn	1	Scin	0	h->i	other	Diogenes attests Scin and not Schn
page-030-R	56	merlin	1	meroin	0	l->o	other	Diogenes attests meroin and not merlin
page-030-R	57	falconum	1	falconem	0	u->e	other	Diogenes attests falconem and not falconum
page-031-L	37	Aphr	2	Apar	0	h->a	other	Diogenes attests Apar and not Aphr (1 of 2 attested neighbours)
page-033-L	33	Dial	2	Diae	0	l->e	other	Diogenes attests Diae and not Dial (1 of 4 attested neighbours)
page-034-R	33	motricem	1	matricem	0	o->a	other	Diogenes attests matricem and not motricem
page-034-R	53	motrix	1	matrix	0	o->a	other	Diogenes attests matrix and not motrix (1 of 2 attested neighbours)
