class	column	line_id	line_idx	edits	subs	gt	model
letter	page-015-L	_d2ad834f-bd72-4ceb-9722-d864ee33c309	16	1	φ→ψ	806b23. — φαντάσματα ἀβέβαια (veluti λαμπάδες, δοκί-	806b23. — ψαντάσματα ἀβέβαια (veluti λαμπάδες, δοκί-
letter	page-015-L	_caf793d4-8a8b-4cd0-9ad2-5cb2f1e9ed02	37	1	M→I	cod Mb Fr).	cod Ib Fr).
letter	page-015-R	_ffeb9c4a-2c74-4af6-9cbe-8d2dd7700ca2	30	3	α→ᾳ ∅→ȣ ὰ→̀	ἀγαθῶν συστοιχία τὸ ἕν Ηα4. 1096b6. ἀγαθὸν κατὰ τὰς	ἀγαθῶν συστοιχίᾳ τὸ ἕν Ηα4. 1096b6. ἀγαθὸν κατὰ τȣ̀ς
letter	page-015-R	_c21628c2-bdec-4d93-884b-a74fbe44e832	35	1	e→ο	2. species τȣ͂ ἀγαθȣ͂ distinguuntur. τἀγαθὰ τὰ μὲν καθ'	2. spοcies τȣ͂ ἀγαθȣ͂ distinguuntur. τἀγαθὰ τὰ μὲν καθ'
letter	page-016-L	_b0c53820-59da-49d7-82d2-cb8f21eefefa	21	1	a→α	3. synonyma. τῷ ἀγαθῷ ϗ̀ κακῷ ἐν τῷ αὐτῷ γένει	3. synonymα. τῷ ἀγαθῷ ϗ̀ κακῷ ἐν τῷ αὐτῷ γένει
letter	page-016-L	_dfed0fbb-7a95-4b08-85cc-810547b00786	61	1	χ→κ	διελθεῖν ημβ11. 1208b7. ȣ̓ βέλτιον (i e ȣ̓χ ἀγαθόν) τι25.	διελθεῖν ημβ11. 1208b7. ȣ̓ βέλτιον (i e ȣ̓κ ἀγαθόν) τι25.
letter	page-016-R	_ac666bc3-3248-4cce-85e3-aea2e877ca95	16	1	f→l	ναιος f172. 1506b30. versus Homerici afferuntur τι4. 166	ναιος f172. 1506b30. versus Homerici alferuntur τι4. 166
letter	page-016-R	_87418ae9-867e-4769-8333-85beede02799	17	3	∅→B Β→   →∅	b7 (Β15. v l cf Wolf Prol p CLXVIII). Πγ16. 1287b14	b7 (B 15. vl cf Wolf Prol p CLXVIII). Πγ16. 1287b14
letter	page-016-R	_106d17bb-6f79-4ce0-9ab0-527ad2d4d2ca	18	6	Β→8 ∅→  Ι→I ∅→  ∅→   →∅	(Β372). Ργ11.1413a32 (Ι388). f144.1502b30 (Γ277).	(8372). Ργ11. 1413a32 (I388). f 144. 1502b30(Γ277).
letter	page-016-R	_08a1a2a1-8399-444e-8608-64a314b67fdf	22	1	v→ν	ἀγαμένως v. ἄγασθαι.	ἀγαμένως ν. ἄγασθαι.
letter	page-016-R	_d86614c4-cd69-4fb2-8b44-654907b301fd	51	1	ὁ→ἐ	πητὸν μεῖζον ἀγαθόν Ρα7. 1365b16, 19. τοῖς ὁρῶσι τὸ ὁρᾶν	πητὸν μεῖζον ἀγαθόν Ρα7. 1365b16, 19. τοῖς ἐρῶσι τὸ ὁρᾶν
letter	page-017-R	_429086dd-d123-47e3-ae6c-f3e3d7187e08	12	1	τ→κ	τετραπόδων ζῳοτοκȣ́ντων Ζιθ7. 595b15. 23. 604a13. ι50.	τετραπόδων ζῳοκοκȣ́ντων Ζιθ7. 595b15. 23. 604a13. ι50.
letter	page-017-R	_1a865f98-f35f-46eb-879f-d5a1bb6b5d0c	48	1	X→∅	Ἀγησίπολις ci Muretus Spgl Bk3 coll Xen Hell 4, 7, 2 pro	Ἀγησίπολις ci Muretus Spgl Bk3 coll en Hell 4, 7, 2 pro
letter	page-018-L	_9b839c99-6052-4ab9-9432-7804886e5281	21	1	Β→B	ἀγνοεῖ Ρα9. 1368b12. ἀγνοῶν ϗ̀ (ϗ̀ Βk3, ἢ Bk) ἄκων, ἑκὼν	ἀγνοεῖ Ρα9. 1368b12. ἀγνοῶν ϗ̀ (ϗ̀ Bk3, ἢ Bk) ἄκων, ἑκὼν
letter	page-018-L	_75d2bf40-45c7-4566-8160-10ff13c5ce46	30	1	e→c	(i e non intellexit) Γα1. 314a13. ὅσα εἰρημένα ἀγνοȣμενά	(i e non intcllexit) Γα1. 314a13. ὅσα εἰρημένα ἀγνοȣμενά
letter	page-018-L	_6216e138-4a9e-4b56-9a8c-338ee679dcaf	61	2	,→∅ ∅→ν	λοις Πε11. 1313b5. ἀγνῶτες, opp γνώριμοι, συνήθεις, syn	λοις Πε11. 1313b5. ἀγνῶτες opp γνώριμοιν, συνήθεις, syn
letter	page-018-R	_d832dc68-90fb-408f-a86d-eb6ebf9d9951	3	1	ι→∅	εὔνοια γίνεται ϗ̀ πρὸς ἀγνῶτας (cf θ2. 1155b35, an ἀγνιῶτας	εὔνοια γίνεται ϗ̀ πρὸς ἀγνῶτας (cf θ2. 1155b35, an ἀγνῶτας
letter	page-019-L	_8aef22d0-874d-4a01-a519-459205b1fd36	37	1	∅→ι	διαιρεῖσθαι Ζια1. 488a30. Ζμα3. 643b3. π45. 895b24.	διαιρεῖσθαι Ζια1. 488a30. Ζμα3. 643b3. πι45. 895b24.
letter	page-019-L	_3bd32e5d-a29a-4e99-895d-2dc96ec8fe40	44	2	∅→ι ∅→͂	1254b11. π45. 896a2. ἅπαξ τȣ ἐνιαυτȣ͂ τίκτει τὰ πολλὰ	1254b11. πι45. 896a2. ἅπαξ τȣ͂ ἐνιαυτȣ͂ τίκτει τὰ πολλὰ
letter	page-019-L	_0685a089-1021-4ab1-b524-5c182dac3e25	51	1	ω→∅	ϗ̀ αὐτὰ τὰ ἀγριώτατα Ζιι1. 608b35. ἡμερώτατον τῶν ἀγρίων	ϗ̀ αὐτὰ τὰ ἀγριώτατα Ζιι1. 608b35. ἡμερώτατον τῶν ἀγρίν
letter	page-019-L	_79327ca1-185a-4bc3-84f2-33943a6ed9b5	58	1	ρ→ο	b3. Ζγε3. 783a15. Ηγ13. 1118a22. τετράποδα ἄγρια, τε-	b3. Ζγε3. 783a15. Ηγ13. 1118a22. τετράποδα ἄγοια, τε-
letter	page-019-R	_ec083959-596a-401b-9de4-f7e9f4c62863	19	1	ἔ→ὄ	1193a13, 16). 1. proprie, ζῷα ἄγροικα, dist ἔρεια, συναν-	1193a13, 16). 1. proprie, ζῷα ἄγροικα, dist ὄρεια, συναν-
letter	page-021-L	_07215160-81ee-4829-a0b8-77802ba33c05	26	4	r→∅ u→m c→e ὐ→ὑ	structa cum dativo subiecti, veluti ὁ κριτὴς οἴεται οὐχ αὐτῷ	stmeta cum dativo subiecti, veluti ὁ κριτὴς οἴεται οὐχ αὑτῷ
