column	line	corpus	llama	llama_n	marks	context
page-033-R	29	ȣ̓́τ	ȣτ	4	-acute,-smooth	a17. τὸ πρῶτον αἰσθητικόν μν1. 450 a11. υ1. 454 a23. ȣ̓́τ’
page-038-L	6	ȣ̓́τ	ȣτ	4	-acute,-smooth	a19. τὰ θηρία ȣ̓́τε σώφρονα ȣ̓́τ’ ἀκόλαστα Ηη7. 1149b31.
page-040-R	47	ȣ̓́τ	ȣτ	4	-acute,-smooth	ἀκρόδρυον. ȣ̓́τ’ ἀκρόδρυα ȣ̓́τ’ ὀπώρα χρόνιος Ζιθ28. 606b2.
page-040-R	47	ȣ̓́τ	ȣτ	4	-acute,-smooth	ἀκρόδρυον. ȣ̓́τ’ ἀκρόδρυα ȣ̓́τ’ ὀπώρα χρόνιος Ζιθ28. 606b2.
page-056-R	49	ȣ̓́τ	ȣτ	4	-acute,-smooth	ἄναιμος. 1. μόρια ἄναιμα. ȣ̓́τ’ ἄναιμον ȣ̓δὲν αἰσθητικὸν ȣ̓́τε
page-060-R	15	ȣ̓́τ	ȣτ	4	-acute,-smooth	ἀναλύεται ȣ̓́τ’ εἰς ἄλληλα ȣ̓́τ’ εἰς ἕν τι Μδ28. 1024 b15.
page-060-R	15	ȣ̓́τ	ȣτ	4	-acute,-smooth	ἀναλύεται ȣ̓́τ’ εἰς ἄλληλα ȣ̓́τ’ εἰς ἕν τι Μδ28. 1024 b15.
page-063-R	37	ȣ̓́τ	ȣτ	4	-acute,-smooth	ζῷα ȣ̓́τ’ ἀναπνέοντα ȣ̓́τε δεχόμενα τὸ ὕδωρ Ζιθ2. 589a16.
page-082-R	49	ȣ̓́τ	ȣτ	4	-acute,-smooth	382a16. ἡ σπερματικὴ ὕλη ȣ̓κ ἔστιν ἀόριστος ȣ̓́τ’ ἐπὶ τὸ
page-082-R	50	ȣ̓́τ	ȣτ	4	-acute,-smooth	πλεῖον ȣ̓́τ’ ἐπὶ τὸ ἔλαττον ὥστ’ ἐξ ὁποσησȣ͂ν γίνεσθαι τῷ
page-085-R	41	ȣ̓́τ	ȣτ	4	-acute,-smooth	Ρα15. 1377b5. ȣ̓κ ἔστι μεταστρέψαι ȣ̓́τ’ ἀπάτῃ ȣ̓́τ’ ἀνάγκῃ
page-085-R	41	ȣ̓́τ	ȣτ	4	-acute,-smooth	Ρα15. 1377b5. ȣ̓κ ἔστι μεταστρέψαι ȣ̓́τ’ ἀπάτῃ ȣ̓́τ’ ἀνάγκῃ
page-100-L	10	ȣ̓́τ	ȣτ	4	-acute,-smooth	ζῳοτόκων ȣ̓́τ’ ἄπȣν ȣ̓́τε πεζεῦον Ζμγ6. 669b7. — d. ἄπȣς,
page-046-L	42	ἀλλοιȣ͂σθαι	ἀλλοῖȣσθαι	4	order	(cf ὄντων ϗ̀ μὴ ἠλλοιωμένων Γα10. 327 b1). ἀλλοιȣ͂σθαι ȣ̓
page-046-L	44	ἀλλοιȣ͂σθαι	ἀλλοῖȣσθαι	4	order	τζ6. 145 a4-12. ἀλλοιȣ͂σθαι ταῖς τῶν ὁμοιομερῶν διαφοραῖς
page-046-L	53	ἀλλοιȣ͂σθαι	ἀλλοῖȣσθαι	4	order	εἰς ἐντελέχειαν πότερόν ἐστιν ἀλλοιȣ͂σθαι ψβ5. 417 b6 (cf
page-046-L	54	ἀλλοιȣ͂σθαι	ἀλλοῖȣσθαι	4	order	ἀλλοίωσις). ἐνδέχεται ἀθρόον ἀλλοιȣ͂σθαι αι6. 447 a2. — ἀλ-
page-061-L	52	ἀλλοιȣ͂σθαι	ἀλλοῖȣσθαι	4	order	καθέστηκεν ἀλλοιȣ͂σθαι (sed Anaxagorea verba paullum ab
