column	line	word	rule	context
page-017-R	22	ἀνελευθερίοτητι	§163 accent before the antepenult	τῇ ἀνελευθερίοτητι αρ7. 1251 b16.
page-017-R	41	ἄγεννητον	§163 accent before the antepenult	ϗ̀ τȣ́των τὸ ἔσχατον ἄγεννητον (ἀγένητον?) Μβ4. 999 b7.
page-022-L	31	Κάικον	§167c acute on long penult, short ultima (want circumflex)	Κάικον Μυσίας κέκληται ἀπὸ Ἀδραμύτȣ κτιστȣ͂ f 507. 1561
page-035-L	52	αἰτίατέον	§163 accent before the antepenult	αἰτίατέον τὴν τῶν ἀεὶ κινȣμένων δύναμιν μα2. 339a32.
page-035-R	19	ὑπολείποι	§167c acute on long penult, short ultima (want circumflex)	χει τῷ θεῷ Μλ7. 1072 b29. ὑπολείποι ἂν ὁ αἰὼν διαριθ-
page-067-L	6	εἴποι	§167c acute on long penult, short ultima (want circumflex)	1117a7. τὰ θηρία ȣ̓κ ἄν τις εἴποι ἀνδρεῖα ημα20. 1191a3.
page-075-L	32	ἀντερείδοι	§167c acute on long penult, short ultima (want circumflex)	ἀὴρ ἢ ἡ θάλασσα ἀντερείδοι Ζκ2. 698b18. cf πκγ3. 931
page-076-L	20	ἕτέρῳ	§166 acute on antepenult with long ultima	β4. 415a10. — 2. ἀντικεῖσθαι ἑτερον ἕτέρῳ λέγεται τετρα-
page-086-R	52	ἐπορεύετ	§167c acute on long penult, short ultima (want circumflex)	b4. κ12. 1068a33. Φε2. 225b34. τȣ͂τ’ ἐπορεύετ’ ἂν εἰς
page-109-R	27	εἶη	§166 circumflex on penult with long ultima	ἄλλης ἂν εἶη φιλοσοφίας οἰκειότερον ψα3. 407b12. υ3. 458
