sid	page	col	line	char	rule	token	becomes	score	witness	context
page-109-R:60:19	109	R	60	19	sq_after_number	36sqq	36 sqq	2 of 3	kraken=absent,calamari=glued,llama=space,genie=space	λυτικοῖς (Αα46. 51b36sqq, hunc Analyticorum lo
page-110-L:33:49	110	L	33	49	sq_after_number	108sq	108 sq	2 of 4	kraken=space,calamari=glued,llama=glued,genie=space	onfert Bernays Dial p 108sq;
page-110-L:34:5	110	L	34	5	sq_after_number	180sqq	180 sqq	0 of 1	kraken=absent,calamari=glued,llama=absent,genie=absent	Ηz p 180sqq verba εἴρηται-φιλοσοφ
page-110-L:54:16	110	L	54	16	sq_after_number	18sqq	18 sqq	0 of 3	kraken=glued,calamari=glued,llama=glued,genie=absent	(Ζπ4. 5. 2. 704b18sqq, pro διώρισται scribe
page-110-R:56:9	110	R	56	9	sq_after_number	15sqq	15 sqq	2 of 4	kraken=space,calamari=glued,llama=glued,genie=space	μγ7. 378a15sqq. cf Rose Ar libr p 19
page-111-R:39:2	111	R	39	2	sq_after_number	164sq	164 sq	2 of 4	kraken=glued,calamari=glued,llama=space,genie=space	p 164sq, Meyer p 427sqq). β2.
page-111-R:39:17	111	R	39	17	sq_after_number	427sqq	427 sqq	3 of 4	kraken=space,calamari=glued,llama=space,genie=space	p 164sq, Meyer p 427sqq). β2. 648b9 ἐν ἑτέροι
page-112-L:31:1	112	L	31	1	sq_after_number	7sqq	7 sqq	0 of 0	kraken=ambiguous,calamari=ambiguous,llama=ambiguous,genie=ambiguous	b7sqq). δ12. 693b24 ἐν τοῖς
page-112-L:38:21	112	L	38	21	sq_after_number	3sqq	3 sqq	1 of 3	kraken=space,calamari=glued,llama=glued,genie=absent	3. 471a22. Ζμγ6. 669a3sqq. δ10. 686a18, 24 b21.
page-113-R:32:2	113	R	32	2	sq_after_number	139sqq	139 sqq	3 of 4	kraken=space,calamari=glued,llama=space,genie=space	p 139sqq, ad deperditas partes
page-114-R:58:4	114	R	58	4	sq_after_number	358sqq	358 sqq	3 of 4	kraken=space,calamari=glued,llama=space,genie=space	II, 358sqq, Zeller II, 2, 62; se
page-116-L:37:25	116	L	37	25	sq_after_number	85sqq	85 sqq	1 of 3	kraken=absent,calamari=glued,llama=glued,genie=space	itat de ea re Heitz p 85sqq; quod Rose Ar Ps p 13
page-116-L:47:8	116	L	47	8	sq_after_number	67sqq	67 sqq	1 of 4	kraken=glued,calamari=glued,llama=glued,genie=space	Heitz p 67sqq. — Περὶ νόσȣ ϗ̀ ὑγιεί
page-116-R:28:37	116	R	28	37	sq_after_number	59sqq	59 sqq	2 of 4	kraken=space,calamari=glued,llama=glued,genie=space	ertum est. cf Heitz p 59sqq. — Περὶ φι-
page-116-R:32:2	116	R	32	2	sq_after_number	180sqq	180 sqq	0 of 0	kraken=ambiguous,calamari=ambiguous,llama=ambiguous,genie=ambiguous	p 180sqq, referenda sunt ad Ar
page-116-R:33:20	116	R	33	20	sq_after_number	108sqq	108 sqq	2 of 4	kraken=space,calamari=glued,llama=glued,genie=space	dialogum, Bernays p 108sqq. non esse ad eum dial
page-117-L:2:2	117	L	2	2	sq_after_number	122sqq	122 sqq	3 of 4	kraken=space,calamari=glued,llama=space,genie=space	p 122sqq. non esse titulum eor
page-117-L:26:43	117	L	26	43	sq_after_number	13sq	13 sq	3 of 4	kraken=space,calamari=glued,llama=space,genie=space	pengel Arist Stud I p 13sq. Forch-
page-117-L:52:21	117	L	52	21	column_letter_after_word	cfa16	cf a16	1 of 2	kraken=absent,calamari=glued,llama=absent,genie=space	ρήνη f 579. 1573a25, cfa16. Ἀ. Platonicus Πβ4. 1
